player_id,player_name,position,TD_2018,TD_2019,TD_2020,TD_2021,TD_2022,TD_2023,TD_2024,avg_yds_after_catch_2018,avg_yds_after_catch_2019,avg_yds_after_catch_2020,avg_yds_after_catch_2021,avg_yds_after_catch_2022,avg_yds_after_catch_2023,avg_yds_after_catch_2024,avg_yds_per_carry_2018,avg_yds_per_carry_2019,avg_yds_per_carry_2020,avg_yds_per_carry_2021,avg_yds_per_carry_2022,avg_yds_per_carry_2023,avg_yds_per_carry_2024,completion_rate_2018,completion_rate_2019,completion_rate_2020,completion_rate_2021,completion_rate_2022,completion_rate_2023,completion_rate_2024,games_played_2018,games_played_2019,games_played_2020,games_played_2021,games_played_2022,games_played_2023,games_played_2024,receive_attempts_2018,receive_attempts_2019,receive_attempts_2020,receive_attempts_2021,receive_attempts_2022,receive_attempts_2023,receive_attempts_2024,rush_attempts_2018,rush_attempts_2019,rush_attempts_2020,rush_attempts_2021,rush_attempts_2022,rush_attempts_2023,rush_attempts_2024,team_2025,division,stadium_type,BYE,exp,pos_roster,avg_team_time_on_offense,strength_o_line,strength_of_schedule_calc,strength_of_qb,odd_run,odd_throw,games_played_total_career,avg_games_played_per_szn
00-0026983,D.Heyward-Bey,WR,0.0,,,,,,,10.0,,,,,,,-7.0,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,1.0,,,,,,,PIT,AFC North,outdoor,7.0,9.0,WR,65.375,86.87116,0.4928459322325421,0.5848148148148148,0.30305928,0.6969407,3,3.0
00-0026986,M.Crabtree,WR,5.0,0.0,,,,,,2.321428571428572,1.25,,,,,,,,,,,,,,,,,,,,17.0,2.0,,,,,,104.0,5.0,,,,,,0.0,0.0,,,,,,ARI,NFC West,indoor,12.0,10.0,WR,61.75,44.443806,0.515657249742002,0.5482374768089053,0.35931173,0.64068824,19,9.5
00-0027029,L.McCoy,RB,3.0,5.0,0.0,,,,,8.470588235294118,8.428571428571429,6.8,,,,,3.192546583850932,4.603960396039604,3.1,,,,,,,,,,,,14.0,13.0,8.0,,,,,46.0,34.0,19.0,,,,,161.0,101.0,10.0,,,,,TB,NFC South,outdoor,13.0,11.0,RB,62.35,84.79518,0.5199948400412796,0.603442513368984,0.361668,0.638332,35,11.666666666666666
00-0027061,J.Cook,TE,6.0,9.0,7.0,4.0,,,,5.044117647058823,5.729166666666667,3.1956521739130435,4.958333333333333,,,,,,,,,,,,,,,,,,16.0,15.0,17.0,16.0,,,,101.0,70.0,74.0,83.0,,,,0.0,0.0,0.0,0.0,,,,LAC,AFC West,outdoor,7.0,12.0,TE,66.05882352941177,79.022446,0.4982369418355578,0.6592261904761905,0.33392698,0.666073,64,16.0
00-0027139,J.Phillips,TE,0.0,,,,,,,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,0.0,,,,,,,ARI,NFC West,indoor,9.0,9.0,TE,56.0,32.12704,0.5097340471276229,0.6304828547194959,0.3716518,0.62834823,2,2.0
00-0027150,J.Edelman,WR,6.0,8.0,0.0,,,,,4.9,3.184466019417476,3.0476190476190474,,,,,11.090909090909092,3.9,11.0,,,,,1.0,1.0,1.0,,,,,15.0,17.0,6.0,,,,,143.0,158.0,39.0,,,,,11.0,10.0,2.0,,,,,NE,AFC East,outdoor,5.0,11.0,WR,60.5,48.901985,0.5174820476436188,0.5942028985507246,0.48347107,0.5165289,38,12.666666666666666
00-0027215,L.Paulsen,TE,1.0,,,,,,,6.444444444444445,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,9.0,,,,,,,0.0,,,,,,,ATL,NFC South,indoor,8.0,8.0,TE,63.0,60.390675,0.4686223447712418,0.7041823308270676,0.32440478,0.6755952,7,7.0
00-0027325,L.Blount,RB,5.0,,,,,,,8.7,,,,,,,2.7142857142857144,,,,,,,,,,,,,,16.0,,,,,,,15.0,,,,,,,154.0,,,,,,,DET,NFC North,indoor,6.0,8.0,RB,63.375,57.444054,0.4890579312865497,0.5365129835718071,0.37672585,0.62327415,16,16.0
00-0027531,C.Ivory,RB,1.0,,,,,,,14.083333333333334,,,,,,,3.347826086956522,,,,,,,,,,,,,,13.0,,,,,,,20.0,,,,,,,115.0,,,,,,,BUF,AFC East,outdoor,11.0,8.0,RB,62.5625,53.941257,0.5155121259029928,0.5674639111420721,0.4035964,0.5964036,13,13.0
00-0027656,R.Gronkowski,TE,3.0,,9.0,7.0,,,,4.4,,6.075471698113208,6.546875,,,,,,,,,,,,,,,,,,16.0,,20.0,14.0,,,,91.0,,91.0,106.0,,,,0.0,,0.0,0.0,,,,TB,NFC South,outdoor,9.0,11.0,TE,66.47368421052632,85.10158,0.4811745566185846,0.6539842873176207,0.3182898,0.68171024,50,16.666666666666668
